Project,File,HistoryIndex,FileChangeCount
jgit,8870.json,1,4
jgit,9383.json,2,2
jgit,5560.json,1,3
jgit,1001.json,1,5
jgit,9494.json,0,3
jgit,7374.json,0,2
jgit,842.json,0,4
jgit,8378.json,0,5
jgit,46.json,1,2
jgit,5508.json,0,4
jgit,1254.json,1,4
jgit,8184.json,0,2
jgit,5511.json,0,4
jgit,8400.json,0,5
jgit,5563.json,1,3
jgit,997.json,0,5
jgit,1257.json,1,4
jgit,8189.json,0,2
jgit,7401.json,0,3
jgit,6293.json,2,2
jgit,7604.json,1,3
jgit,7368.json,1,2
jgit,5564.json,0,3
jgit,4698.json,2,4
jgit,7992.json,1,3
jgit,9433.json,3,3
jgit,8283.json,2,2
weka,27694.json,3,4
weka,33432.json,0,3
weka,21612.json,2,3
weka,27849.json,0,2
weka,30923.json,9,4
weka,14723.json,0,5
weka,29067.json,0,4
weka,4440.json,3,5
weka,11692.json,0,3
weka,28529.json,3,3
weka,17512.json,3,2
weka,10705.json,4,2
weka,1644.json,2,4
weka,26434.json,4,2
weka,18902.json,0,2
weka,36605.json,1,5
weka,25951.json,5,5
weka,15246.json,7,3
weka,28143.json,4,2
weka,14463.json,0,5
weka,17451.json,3,3
weka,16573.json,0,2
weka,24497.json,0,5
weka,10483.json,0,5
weka,33438.json,0,3
weka,17452.json,3,3
weka,20084.json,0,3
weka,4439.json,1,5
weka,33745.json,1,2
weka,14368.json,1,5
weka,20098.json,0,3
weka,26247.json,3,5
weka,22383.json,1,2
weka,4729.json,3,2
weka,4969.json,0,2
weka,18610.json,1,2
weka,32882.json,0,5
weka,18379.json,3,5
weka,32875.json,0,5
weka,27018.json,0,3
weka,22574.json,0,3
weka,29121.json,2,2
weka,24330.json,2,5
weka,21611.json,2,3
weka,19490.json,2,2
weka,25729.json,0,2
weka,14767.json,4,2
weka,15698.json,2,3
weka,18343.json,0,3
weka,19207.json,0,2
weka,8558.json,1,3
weka,18313.json,3,2
weka,29444.json,0,4
weka,14491.json,1,5
weka,18337.json,0,3
weka,11894.json,3,3
weka,15920.json,0,3
weka,13954.json,0,3
weka,5913.json,0,3
weka,11722.json,0,3
weka,20414.json,2,3
weka,36168.json,0,3
weka,25728.json,1,2
weka,5925.json,0,3
weka,27279.json,3,2
weka,21591.json,4,3
weka,13956.json,0,3
weka,29433.json,0,4
weka,32892.json,0,5
weka,26095.json,4,2
weka,6567.json,0,4
weka,14984.json,3,4
weka,36870.json,0,3
weka,1487.json,0,4
weka,10092.json,4,3
weka,18534.json,0,5
weka,26070.json,2,2
weka,10326.json,2,4
weka,26221.json,3,5
weka,22480.json,0,3
weka,1643.json,2,4
weka,8611.json,4,5
weka,26001.json,4,2
weka,17524.json,3,3
weka,19193.json,1,4
weka,24356.json,2,5
weka,25370.json,3,4
weka,27020.json,7,4
weka,30090.json,1,4
weka,9957.json,0,4
weka,5850.json,0,3
weka,4720.json,5,4
weka,21732.json,1,3
weka,9951.json,1,2
weka,15884.json,3,5
weka,24521.json,0,5
weka,30025.json,0,4
weka,30150.json,0,2
weka,15953.json,3,2
weka,14908.json,3,2
weka,24326.json,4,5
weka,31953.json,5,5
weka,18518.json,0,5
weka,17832.json,2,5
weka,30709.json,0,4
weka,28332.json,2,2
weka,36165.json,0,3
weka,11892.json,3,3
weka,19057.json,2,3
weka,29593.json,2,4
weka,31209.json,0,2
weka,11730.json,0,3
weka,4961.json,0,2
weka,31965.json,4,2
weka,30130.json,1,4
weka,16959.json,0,2
weka,31086.json,0,4
weka,4443.json,0,5
weka,1443.json,0,4
weka,31434.json,5,2
weka,15245.json,4,3
weka,33621.json,0,2
weka,32372.json,0,2
weka,18519.json,0,5
weka,29686.json,0,4
weka,32370.json,0,2
weka,20079.json,0,3
weka,27027.json,2,3
weka,37292.json,1,2
weka,31437.json,4,2
weka,1470.json,0,4
weka,27015.json,3,3
weka,33435.json,0,3
weka,24909.json,5,2
weka,22359.json,0,2
weka,24859.json,0,3
weka,10093.json,4,3
weka,15300.json,0,2
weka,25371.json,3,4
weka,16950.json,0,2
weka,18659.json,0,5
weka,27848.json,0,2
weka,32086.json,2,3
weka,30147.json,0,2
weka,11572.json,0,2
weka,18344.json,0,3
weka,17455.json,4,3
weka,15846.json,2,2
weka,19464.json,2,4
weka,8504.json,1,3
weka,26593.json,0,2
weka,18903.json,3,2
weka,4903.json,4,4
weka,11891.json,4,3
weka,31024.json,2,4
weka,32092.json,5,3
weka,37029.json,0,5
weka,24862.json,0,3
weka,17457.json,4,3
weka,17021.json,4,5
weka,18378.json,3,5
weka,18611.json,1,2
weka,17275.json,4,3
weka,1512.json,0,3
weka,27308.json,0,3
weka,21613.json,4,3
weka,11222.json,4,2
weka,37017.json,0,5
weka,31085.json,0,4
weka,26063.json,3,2
weka,24382.json,2,5
weka,16784.json,3,2
weka,31506.json,1,5
weka,27062.json,3,3
weka,18439.json,2,4
weka,15849.json,2,5
weka,36506.json,0,2
weka,6570.json,1,2
weka,18440.json,2,4
weka,26163.json,3,2
weka,29437.json,0,4
weka,16574.json,0,2
weka,36753.json,0,3
weka,19887.json,0,3
weka,18488.json,2,2
weka,18966.json,3,2
weka,4442.json,0,5
weka,20096.json,0,3
weka,17835.json,9,5
weka,17511.json,3,2
weka,27719.json,9,2
weka,17833.json,2,5
weka,26226.json,3,5
weka,24887.json,2,3
weka,24938.json,1,4
weka,14369.json,1,5
weka,36754.json,0,3
weka,23676.json,10,2
weka,1745.json,4,2
weka,24379.json,2,2
weka,20407.json,0,3
weka,6573.json,6,2
weka,24378.json,2,2
weka,21750.json,6,2
weka,31507.json,1,5
weka,37255.json,1,4
weka,30045.json,0,4
weka,18102.json,2,2
weka,31208.json,0,2
weka,17552.json,5,3
weka,2873.json,0,3
weka,36752.json,0,3
weka,28787.json,1,4
weka,25663.json,3,5
weka,4722.json,5,4
weka,20683.json,0,2
weka,15290.json,0,2
weka,36166.json,0,3
weka,14880.json,0,4
weka,17857.json,9,5
weka,18959.json,0,2
weka,10577.json,5,2
weka,17834.json,12,5
weka,33593.json,0,2
weka,10095.json,5,3
weka,32874.json,0,5
weka,29841.json,0,2
weka,4437.json,1,5
weka,19514.json,2,2
weka,33624.json,0,2
weka,30094.json,0,4
weka,9952.json,2,2
weka,15697.json,2,3
weka,18419.json,4,5
weka,11217.json,3,2
weka,27278.json,4,2
weka,24520.json,0,5
weka,30708.json,0,4
weka,26964.json,0,3
weka,30027.json,0,4
weka,29435.json,0,4
weka,22358.json,0,2
weka,1709.json,0,4
weka,14479.json,1,5
weka,31828.json,3,2
xerces2-j,4180.json,2,3
xerces2-j,8335.json,3,2
xerces2-j,1276.json,0,3
xerces2-j,2809.json,0,4
xerces2-j,124.json,2,5
xerces2-j,5907.json,0,3
xerces2-j,5442.json,0,3
xerces2-j,2342.json,0,2
xerces2-j,8397.json,4,2
xerces2-j,6868.json,0,4
xerces2-j,4878.json,0,3
xerces2-j,4215.json,0,3
xerces2-j,8298.json,0,5
xerces2-j,4877.json,0,3
xerces2-j,3530.json,0,3
xerces2-j,3161.json,0,2
xerces2-j,4854.json,1,4
xerces2-j,4969.json,0,4
xerces2-j,6850.json,0,3
xerces2-j,6094.json,1,4
xerces2-j,5326.json,1,3
xerces2-j,3115.json,0,2
xerces2-j,3267.json,0,4
xerces2-j,7602.json,0,2
xerces2-j,3751.json,0,4
xerces2-j,3335.json,0,4
xerces2-j,1391.json,0,5
xerces2-j,5991.json,0,5
xerces2-j,2290.json,0,2
xerces2-j,6799.json,0,4
xerces2-j,911.json,0,4
xerces2-j,7296.json,0,3
xerces2-j,7606.json,0,2
xerces2-j,5410.json,0,4
xerces2-j,5953.json,0,2
xerces2-j,3745.json,0,4
xerces2-j,5434.json,1,5
xerces2-j,6717.json,2,2
xerces2-j,4327.json,1,4
xerces2-j,2921.json,0,4
xerces2-j,2894.json,0,3
xerces2-j,4856.json,1,4
xerces2-j,216.json,0,5
xerces2-j,2240.json,0,2
xerces2-j,3370.json,0,4
xerces2-j,5321.json,0,5
xerces2-j,381.json,0,4
xerces2-j,4217.json,0,3
xerces2-j,5955.json,0,2
xerces2-j,2992.json,0,4
xerces2-j,215.json,0,5
xerces2-j,6856.json,0,4
xerces2-j,5457.json,2,2
xerces2-j,5441.json,0,4
xerces2-j,4876.json,0,3
xerces2-j,4884.json,0,3
xerces2-j,7021.json,3,5
xerces2-j,1396.json,2,3
xerces2-j,3362.json,0,3
xerces2-j,4525.json,0,4
xerces2-j,206.json,0,4
xerces2-j,4363.json,0,4
xerces2-j,4410.json,0,2
xerces2-j,2709.json,0,5
xerces2-j,3084.json,0,3
xerces2-j,3738.json,0,4
xerces2-j,3087.json,0,3
xerces2-j,6852.json,0,3
xerces2-j,5409.json,0,4
xerces2-j,233.json,0,4
xerces2-j,3361.json,0,3
xerces2-j,2762.json,0,4
xerces2-j,5035.json,0,2
xerces2-j,4868.json,0,2
xerces2-j,4181.json,1,3
xerces2-j,3074.json,0,3
xerces2-j,2920.json,0,4
xerces2-j,8329.json,0,2
xerces2-j,4216.json,0,3
xerces2-j,4818.json,1,4
xerces2-j,7852.json,0,2
xerces2-j,4605.json,0,2
xerces2-j,7645.json,0,2
xerces2-j,8398.json,4,2
xerces2-j,1274.json,0,3
xerces2-j,447.json,0,2
xerces2-j,4855.json,1,4
xerces2-j,5435.json,1,5
xerces2-j,6661.json,0,2
xerces2-j,5292.json,0,5
xerces2-j,1275.json,0,3
xerces2-j,4956.json,1,3
xerces2-j,5992.json,0,5
xerces2-j,4967.json,0,4
xerces2-j,5906.json,0,3
xerces2-j,5637.json,0,2
xerces2-j,203.json,0,4
xerces2-j,3374.json,0,4
xerces2-j,3732.json,0,2
xerces2-j,3038.json,1,3
xerces2-j,4328.json,1,4
xerces2-j,2547.json,0,3
xerces2-j,263.json,0,4
xerces2-j,2655.json,1,4
xerces2-j,8288.json,0,2
xerces2-j,5408.json,0,4
xerces2-j,232.json,0,4
xerces2-j,4329.json,1,4
xerces2-j,5291.json,0,5
xerces2-j,3334.json,0,4
xerces2-j,2651.json,0,3
xerces2-j,384.json,0,4
xerces2-j,2919.json,0,4
